region_id,Persons_Total_Has_need_for_assistance,Persons_Total_Does_not_have_need_for_assistance,Persons_Total_Need_for_assistance_not_stated,Persons_Total_Total
1103219,6,321,18,345
1103220,8,305,24,337
1103221,15,250,39,304
1103222,24,571,42,637
1103223,0,0,0,0
1103224,5,430,33,468
1103225,6,223,15,244
1103226,9,200,35,244
1103227,45,451,50,546
1103228,60,552,64,676
1103229,20,286,14,320
1103230,33,392,31,456
1103231,6,432,20,458
1103232,30,383,41,454
1103233,14,289,6,309
1103234,34,659,21,714
1103235,19,295,19,333
1103236,46,346,104,496
1103237,15,270,51,336
1103238,9,292,6,307
1103239,29,541,48,618
1103240,51,281,16,348
1103241,9,343,41,393
1103242,21,452,77,550
1103243,18,473,30,521
1103244,104,522,83,709
1103301,4,226,7,237
1103302,12,458,17,487
1103303,16,365,6,387
1103304,9,359,13,381
1103305,4,305,9,318
1103306,3,270,5,278
1103307,9,192,6,207
1103308,13,420,7,440
1103309,0,71,6,77
1103310,9,305,21,335
1103311,15,367,41,423
1103312,6,321,10,337
1103313,10,295,12,317
1103314,8,319,6,333
1103315,25,726,30,781
1103316,0,0,0,0
1103317,24,470,8,502
1103318,9,186,15,210
1103319,24,370,9,403
1103320,0,4,0,4
1103401,17,385,6,408
1103402,21,323,27,371
1103403,31,524,33,588
1103404,7,266,5,278
1103405,18,372,9,399
1103406,9,147,0,156
1103407,13,238,22,273
1103408,12,306,12,330
1103409,9,293,6,308
1103410,13,379,11,403
1103411,22,458,3,483
1103412,21,466,16,503
1103413,15,369,0,384
1103414,35,337,12,384
1103415,27,113,8,148
1103416,40,394,15,449
1103417,30,333,7,370
1103418,162,322,63,547
1103419,12,315,4,331
1103501,27,568,9,604
1103502,19,302,26,347
1103503,17,458,11,486
1103504,30,397,13,440
1103505,12,399,12,423
1103506,15,489,11,515
1103507,18,284,12,314
1103508,7,405,7,419
1103509,15,355,6,376
1103510,11,433,10,454
1103511,11,434,23,468
1103512,10,310,18,338
1103513,9,319,6,334
1103514,22,364,14,400
1103515,21,248,39,308
1103516,18,218,9,245
1103517,0,31,0,31
1103601,6,235,6,247
1103602,0,234,10,244
1103603,14,503,19,536
1103604,6,285,6,297
1103605,6,359,27,392
1103606,4,260,12,276
1103607,3,183,10,196
1103608,9,324,7,340
1103609,9,300,19,328
1103610,38,557,10,605
1103611,15,308,12,335
1103612,15,150,11,176
1103613,22,356,17,395
1103614,16,506,26,548
1103615,9,245,3,257
1103616,6,294,15,315
1103617,15,323,23,361
1103618,6,245,12,263
1103619,10,468,12,490
1103620,27,465,13,505
1103621,17,563,37,617
1103622,16,300,0,316
1103701,39,604,26,669
1103702,13,467,44,524
1103703,20,600,68,688
1103704,6,225,10,241
1103705,14,435,10,459
1103706,19,337,9,365
1103707,15,438,27,480
1103708,9,202,12,223
1103709,15,535,22,572
1103710,15,325,55,395
1103711,17,286,0,303
1103712,9,245,37,291
1103713,149,427,26,602
1103714,21,388,91,500
1103801,9,401,12,422
1103802,21,461,15,497
1103803,18,314,21,353
1103804,15,447,31,493
1103805,19,247,10,276
1103806,16,241,4,261
1103807,11,388,12,411
1103808,31,220,14,265
1103809,21,487,22,530
1103810,6,299,6,311
1103811,14,432,22,468
1103812,17,312,7,336
1103813,23,483,4,510
1103814,20,444,12,476
1103815,16,296,9,321
1103816,15,359,6,380
1103817,18,307,16,341
1103901,4,555,46,605
1103902,14,352,12,378
1103903,10,224,25,259
1103904,14,487,24,525
1103905,9,428,12,449
1103906,27,426,18,471
1103907,11,512,20,543
1103908,6,371,14,391
1103909,10,519,20,549
1103910,10,638,55,703
1103911,25,500,24,549
1103912,17,502,22,541
1103913,20,551,18,589
1103914,7,306,9,322
1103915,10,391,14,415
1103916,21,445,18,484
1103917,6,338,17,361
